method,returns,epochs
Reward to go,44.18421052631579,8
Vanilla,56.49438202247191,9
Reward to go,50.666666666666664,9
Vanilla,53.96774193548387,10
Reward to go,52.104166666666664,10
Vanilla,63.0,11
Reward to go,56.752808988764045,11
Vanilla,64.14102564102564,12
Reward to go,59.11764705882353,12
Vanilla,67.22666666666667,13
Reward to go,56.95454545454545,13
Vanilla,61.97530864197531,14
Reward to go,61.25301204819277,14
Vanilla,70.29166666666667,15
Reward to go,64.12820512820512,15
Vanilla,77.35384615384615,16
Reward to go,64.0506329113924,16
Vanilla,71.55714285714286,17
Reward to go,71.8,17
Vanilla,71.29166666666667,18
Reward to go,63.67088607594937,18
Vanilla,73.61764705882354,19
Reward to go,75.22388059701493,19
Vanilla,75.59701492537313,20
Reward to go,84.68333333333334,20
Vanilla,71.71428571428571,21
Reward to go,84.27868852459017,21
Vanilla,81.04838709677419,22
Reward to go,94.54716981132076,22
Vanilla,82.8360655737705,23
Reward to go,113.24444444444444,23
Vanilla,82.88524590163935,24
Reward to go,114.95454545454545,24
Vanilla,86.63793103448276,25
Reward to go,147.65714285714284,25
Vanilla,84.8,26
Reward to go,138.40540540540542,26
Vanilla,88.26315789473684,27
Reward to go,167.6,27
Vanilla,96.5576923076923,28
Reward to go,180.03571428571428,28
Vanilla,98.54901960784314,29
Reward to go,176.24137931034483,29
Vanilla,98.45098039215686,30
Reward to go,173.4,30
Vanilla,102.73469387755102,31
Reward to go,190.62962962962962,31
Vanilla,125.075,32
Reward to go,228.47826086956522,32
Vanilla,116.76744186046511,33
Reward to go,230.72727272727272,33
Vanilla,120.47619047619048,34
Reward to go,296.88235294117646,34
Vanilla,137.45945945945945,35
Reward to go,405.15384615384613,35
Vanilla,135.54054054054055,36
Reward to go,397.6923076923077,36
Vanilla,160.8181818181818,37
Reward to go,377.7142857142857,37
Vanilla,163.90322580645162,38
Reward to go,418.1666666666667,38
Vanilla,158.46875,39
Reward to go,361.1333333333333,39
Vanilla,157.8125,40
Reward to go,410.3076923076923,40
Vanilla,203.52,41
Reward to go,436.8333333333333,41
Vanilla,215.04166666666666,42
Reward to go,464.45454545454544,42
Vanilla,280.72222222222223,43
Reward to go,478.45454545454544,43
Vanilla,368.35714285714283,44
Reward to go,451.75,44
Vanilla,471.09090909090907,45
Reward to go,495.90909090909093,45
Vanilla,433.0833333333333,46
Reward to go,493.90909090909093,46
Vanilla,405.46153846153845,47
Reward to go,467.0,47
Vanilla,385.6923076923077,48
Reward to go,464.45454545454544,48
Vanilla,348.53333333333336,49
Reward to go,431.6666666666667,49
Vanilla,333.375,50
Reward to go,415.46153846153845,50
